เป้าสินเชื่อ ใหม่,เป้า M,เป้า X,อำนาจยกเว้น
10.1 เอกสารที่ลูกค้าต้องเซ็น,1. บัตรประชาชนตัวจริง หรือบัตรข้าราชการตัวจริง + สำเนาบัตรประชาชนพร้อมรับรองสำเนาถูกต้อง,,พี่ยศ
,2. สำเนาทะเบียนบ้านพร้อมรับรองสำเนาถูกต้อง,,
,3. คำขอสินเชื่อ/ KYC,,
,4. แบบคำขอผู้ค้ำประกันขอสินเชื่อ/ KYC (ถ้ามี),,
,5. สัญญาสินเชื่อทีมีทะเบียนรถเป็นประกัน,,
,6. ใบรับเงิน,,
,7. หนังสือรับทราบอัตราดอกเบี้ย,,
,8. แบบคำขอโอนและรับโอน (เอกสารกรมขนส่งทางบก),,
,9. หนังสือมอบอำนาจ,,
,10. เอกสาร Salesheet,,
,11. หนังสือให้ความยินยอม,,
,12. หนังสือรับรองการจดทะเบียนอัพเดตไม่เกิน 3 เดือน (กรณีนิติบุคคล),,
,13. หนังสือส่งมอบรถ,,
10.2 เอกสารที่สำคัญที่ต้องมี,1. รูปถ่ายปัจจุบัน 5 รูป,,พี่เหน่ง
,2. เล่มทะเบียนรถตัวจริง,,
,3. ถ่ายรูปป้ายภาษีรถหลักประกันที่มาจัดสินเชื่อมาพร้อมหน้ารายการเสียภาษีในเล่มทะเบียน (ตัวอย่างเอกสาร) กรณีภาษีขาดต่อ ต้องมีใบเสร็จฝากต่อที่เป็น ตรอ ไม่ใช่ใบรับเงินไม่มีหัวบริษัท,,
,5. เอกสารแสดงรายได้ตามข้อ 9.6,,
,6. เลขบัญชีธนาคารของผู้กู้เท่านั้น (กรณีโอนเงิน),,
11. ข้อห้ามต่างๆๆ,,,
11.1 อาชีพเสี่ยง (อาชีพพึงระวัง),1.ตำรวจ,,พี่ยศ
,2.ทหาร (อนุมัติได้เฉพาะกรณีมี ผู้กู้ร่วม เป็นหัวหน้างาน หรือผู้กู้ร่วม มีสถานะเป็นเจ้าบ้านในทะเบียนบ้าน),,
,3.นักกฎหมาย เช่น ทนายความ นิติกร ตุลาการ อัยการ ผู้พิพากษา,,
,4 นักข่าว/ สรรพากร/ สคบ./ แบงค์ชาติ/ นักการเมืองทุกระดับ/ สภาองค์กรคุ้มครองผู้บริโภค / สคบ,,
,5. อาชีพผิดกฎหมาย เช่น เปิดบ่อน ฟอกเงิน,,
,,,
,หมายเหตุ:,,
,หมอ พยาบาล แม้จะมียศทางทหาร/ ตำรวจ ให้ถือว่าเป็นอาชีพหมอ/ พยาบาล ไม่ถือเป็นกลุ่มอาชีพเสี่ยงที่กำหนดไว้ข้างต้น,,
,พนักงานหรือเจ้าหน้าที่ที่ทำงานในหน่วยงานเกี่ยวกับกฎหมาย เช่น เจ้าหน้าที่ธุรการศาล ไม่ถือเป็นนักกฎหมาย ตามอาชีพเสี่ยงที่กำหนดไว้ข้างต้น,,
11.2 หลักประกันที่ไม่รับจัดสินเชื่อ,1. รถที่เล่มทะเบียนมีการคัดเล่มหาย/ คัดเล่มชำรุด   (เอกสารตัวอย่าง) หรือ,,พี่เหน่ง
,2. รถที่เล่มทะเบียนมีสัญลักษณ์ว่า เคยเป็นหนี้เสียกับบริษัทอื่น (เช่น มีตรายางสัญลักษณ์ว่าเคยเป็นหนี้เสียของเมืองไทย)  (เอกสารตัวอย่าง) หรือ,,
,3.  รถที่มีการตกแต่ง ดัดแปลง (รถซิ่ง) จนไม่สามารถใช้งานได้ เหมือนรถรุ่นเดียวกันตามปกติ เล่มหน้า 18,,
,4. หมายเหตุ: รถป้ายเหลือง สำหรับ M รับจัดปกติ ถือเป็นรถในเรทปกติ,,
"12. ปิดปรับ (Top up), ปรับโตรงสร้างหนี้ (Restructure)  M",,,
12.1 ปิดปรับ (topup),1. ลูกค้าชั้นดี ค้างชำระไม่เกิน 90 วัน,,พี่เหน่ง
,2. ใช้เงินต้นคงเหลือ (ตัวอย่างเอกสารและวิธีคิด) ถ้าเงินต้นคงเหลือมากกว่าเรทปัจจุบัยไม่เป็นไร แต่ห้ามโอนเงินออก,,
,3. เก็บเงินสด yield คงค้าง หรือ 913 yield คงค้าง  (ตัวอย่างเอกสารและวิธีคิด),,
,4. เก็บเงินสด ค่าปรับค่าติดตมคงค้าง หรือ 913 yield คงค้าง  (ตัวอย่างเอกสารและวิธีคิด),,
,5. เหลือเงินให้ลูกค้า หรือ ไม่เหลือก็ได้,,
12.2  ปรับโครงสร้างหนี้ (Restructure),1. ลูกค้าค้างชำระมากกว่า 90 วัน,,พี่ยศ
,2. เก็บค่างวดมากกว่า 1 งวด,,
,3. ใช้เงินต้นคงเหลือ (ตัวอย่างเอกสารและวิธีคิด) ถ้าเงินต้นคงเหลือมากกว่าเรทปัจจุบัยไม่เป็นไร แต่ห้ามโอนเงินออก,,
,4. เก็บเงินสด yield คงค้าง หรือ 913 yield คงค้าง  (ตัวอย่างเอกสารและวิธีคิด),,
,5. เก็บเงินสด ค่าปรับค่าติดตมคงค้าง หรือ 913 yield คงค้าง  (ตัวอย่างเอกสารและวิธีคิด),,
,6. ถ้ายังค้างจะไม่เหลือรับเงิน,,
12.4 อำนาจอนุมัติ,สาขา เขต ภาค,,พี่ยศ
"
","ปิดปรับ
 (topup)","ปรับโครงสร้างหนี้
(Restructure)",
,ไม่เกินเรท หากเงินต้นคงเหลือมากกว่าเรท ห้ามโอนเงินออก,"เป้า K,N อนุมัติได้โดยผู้จัดการเขตและภาค *เป้า G เป็นต้นไปขอ DSI",
12.5 อำนาจการตรวจสอบภาคสนาม,"น้อยกว่า 100,000 บาทไม่ต้องตรวจ
 มากกว่า 100,000 บาทตั้งตรวจอีกครั้ง",,พี่เหน่ง
12.6 วันครอบครองหลักประกัน,ไม่ต้องดู เพราะผ่านมาแล้ว,,
"12.7 เอกสารขอที่ใช้ ปิดปรับ (Top up), ปรับโตรงสร้างหนี้ (Restructure) ",,,
12.7.1 เอกสารที่ลูกค้าต้องเซ็น,1. บัตรประชาชนตัวจริง หรือบัตรข้าราชการตัวจริง + สำเนาบัตรประชาชนพร้อมรับรองสำเนาถูกต้อง,,พี่ยศ
,2. สำเนาทะเบียนบ้านพร้อมรับรองสำเนาถูกต้อง,,
,3. คำขอสินเชื่อ/ KYC เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,4. แบบคำขอผู้ค้ำประกันขอสินเชื่อ/ KYC (ถ้ามี)  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,5. สัญญาสินเชื่อทีมีทะเบียนรถเป็นประกัน  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,6. ใบรับเงิน  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,7. หนังสือรับทราบอัตราดอกเบี้ย  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,8. แบบคำขอโอนและรับโอน (เอกสารกรมขนส่งทางบก),,
,9. หนังสือมอบอำนาจ  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,10. เอกสาร Salesheet  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,11. หนังสือให้ความยินยอม  เวอร์ชั่นล่าสุดที่พิมพ์จากระบบเท่านั้น,,
,12. หนังสือรับรองการจดทะเบียนอัพเดตไม่เกิน 3 เดือน (กรณีนิติบุคคล),,
,13. หนังสือส่งมอบรถ,,
12.7.2 เอกสารที่สำคัญที่ต้องมี,1. รูปถ่ายปัจจุบัน 5 รูป ตามมุมที่กำหนด เอกสารตัวอย่าง,,พี่เหน่่ง
,3. ถ่ายรูปป้ายภาษีรถหลักประกันที่มาจัดสินเชื่อมาพร้อมหน้ารายการเสียภาษีในเล่มทะเบียนกรณีภาษีขาดต่อ ต้องมีใบเสร็จฝากต่อที่เป็น ตรอ ไม่ใช่ใบรับเงินไม่มีหัวบริษัท  (ตัวอย่างเอกสาร) ,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
วิธีการคีย์บัญชีขาย รีไฟแนนซ์ (Refinance) รถ M – เอกสารแนบ 1,,,
,,,
ให้ใช้วิธีการคีย์ตรง   ,,,
,,,
,,,
,,,
,,,
และให้สาขาเข้าไปรีมาร์ค F25 เกี่ยวกับรายละเอียดของบริษัทที่ไปรีไฟแนนซ์มา,,,
 ,,,
 ,,,
,,,
วิธีการขอโอนเงิน     ,,,
1.    ใช้ใบคำขอโอนเงินที่อยู่หน้าระบบ vloan   ,,,
,,,
,,,
2.    การขอโอนเงินให้แบ่งขอโอนเงิน 2 รอบ,,,
-    การโอนเงินรอบที่ 1 โอนเข้าบัญชีบริษัทไฟแนนซ์เดิม/ ผู้จัดการภาค โดยให้ส่งใบขอโอนเงินให้ vmoto ,,,
     ที่ห้องคิ้ว VMOTO แต่ละภาค และแนบสำเนาเล่มทะเบียนที่ลูกค้ามาขอยื่นรีไฟแนนซ์ที่ google form ,,,
,,,
,,,
,,,
,,,
,,,
-       การโอนเงินรอบที่ 2 โอนเข้าบัญชีลูกค้า โดยสาขาต้องแนบ,,,
1)  ใบขอโอนเงินรอบที่ 2,,,
2)  ใบเสร็จการปิดบัญชีจากบริษัทไฟแนนซ์เดิม,,,
"3)  เอกสารเล่มทะเบียนรถ ได้แก่ หน้าเล่มทะเบียน, หน้าที่มีชื่อลูกค้า, หน้าบันทึกเจ้าหน้าที่",,,
4)  หน้าบัญชีธนาคารของลูกค้า,,,
โดยส่งเอกสารให้ vmoto ที่ห้องคิ้ว VMOTO แต่ละภาค,,,
